Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
101509-12,Infinitum,2014.5369863013698,2022.8520547945207,310.0,2.3,0.3,0,Machinery (B2B),0
58517-11,Infollion,2011.027397260274,2022.6,0.96,0.17,0.03,0,Media and Information Services (B2B),0
328078-00,Inmedix,2017.5808219178082,2022.2410958904109,16.45,2.6,0.6,0,Diagnostic Equipment,0
227011-42,Inoviv,2018.2219178082191,2022.0739726027398,15.87,0.16,0.01,0,Drug Delivery,0
62422-03,InSilico Medicine,2014.2876712328766,2022.4136986301369,895.0,1.5,1.5,AI-powered Drug Discovery Anti-Aging Generative AI,Drug Discovery,0
165969-37,Inspectorio,2016.454794520548,2022.1616438356164,323.16,0.33,0.02,0,Business/Productivity Software,0
104694-58,Inspirna,2013.7452054794521,2022.6575342465753,120.0,7.5,2.5,0,Drug Discovery,0
113191-12,Instabase,2015.6246575342466,2022.5013698630137,2000.0,18.75,3.75,0,Business/Productivity Software,1
266431-78,Intain,2018.2739726027398,2022.509589041096,1.55,2.07,1.98,0,Financial Software,0
169556-95,Integrated Endoscopy,2016.613698630137,2022.6575342465753,72.14,25.72,10.72,0,Surgical Devices,0
168196-60,IntelyCare,2017.509589041096,2022.2602739726028,1100.0,15.0,3.0,0,Other Healthcare Technology Systems,1
98324-47,Interplay Learning,2010.717808219178,2022.6027397260275,137.0,0.8,0.3,0,Educational Software,0
162558-28,Invicta Medical,2016.5287671232877,2023.3013698630136,75.0,18.6,6.6,0,Therapeutic Devices,0
155941-48,Invivox,2016.2191780821918,2022.2246575342465,19.89,4.58,1.33,0,Educational Software,0
51324-94,Invoca,2009.1753424657534,2022.4164383561645,1100.0,7.29,3.59,0,Business/Productivity Software,1
55453-60,iovox,2008.2383561643835,2022.2438356164384,31.21,1.01,0.18,0,Media and Information Services (B2B),0
458160-31,IQ Endoscopes,2016.8520547945207,2023.0657534246575,19.41,1.23,0.31,0,Diagnostic Equipment,0
181932-40,Iristick,2017.3424657534247,2022.3397260273973,20.81,6.76,0.94,0,Other Commercial Products,0
54801-28,iSpot.tv,2012.5123287671233,2022.4109589041095,1010.04,2.58,0.57,0,Media and Information Services (B2B),1
65161-99,Issio Solutions,2012.4356164383562,2023.0465753424658,28.18,3.8,1.1,0,Enterprise Systems (Healthcare),0
222107-32,Itilite,2017.854794520548,2022.2794520547945,143.56,2.1,0.62,0,Other Commercial Services,0
57001-69,Itineris,2011.4931506849316,2022.4383561643835,228.85,48.21,6.48,0,Business/Productivity Software,0
135950-23,J3 Bioscience,2007.5424657534247,2022.164383561644,14.0,0.3,0.3,0,Therapeutic Devices,0
85917-43,Jaanuu,2015.8958904109588,2022.027397260274,325.0,3.5,1.5,0,Clothing,0
169830-46,Jacobi,2017.0849315068492,2022.717808219178,65.0,10.96,3.96,0,Financial Software,0
233722-18,Jellyfish (Business/Productivity Software),2017.0,2022.0849315068492,606.7,11.69,2.69,0,Business/Productivity Software,0
182455-30,Jerry,2017.0,2022.323287671233,571.77,2.14,0.15,0,Insurance Brokers,0
166491-01,Jiko,2016.978082191781,2022.7616438356165,365.0,1.0,0.29,0,Financial Software,0
237439-90,Jio Health,2017.1068493150685,2022.1835616438357,32.99,12.53,2.73,0,Clinics/Outpatient Services,0
223050-52,Jnana Therapeutics,2017.495890410959,2022.8712328767124,295.0,130.0,50.0,0,Drug Discovery,0
172065-79,Jobox,2017.468493150685,2022.2767123287672,172.0,7.17,1.67,0,Business/Productivity Software,0
61827-49,Jöttnar,2013.4986301369863,2023.0465753424658,8.26,0.45,0.15,0,Clothing,0
164203-66,Joy,2014.8821917808218,2022.9123287671232,350.0,5.9,0.9,0,Other Services (B2C Non-Financial),0
224392-24,Juni (Educational Software),2018.1041095890412,2022.3972602739725,74.3,1.71,0.12,0,Educational Software,0
226230-04,Juvena Therapeutics,2018.1068493150685,2022.8520547945207,100.0,15.0,4.33,0,Drug Discovery,0
